,0,1
0,b3495,45935.0
1,b3986,12183.0
2,b3339,10296.0
3,b1779,8675.0
4,b3980,8595.0
5,b0440,8148.0
6,b1823,7607.0
7,b1237,7523.0
8,b1094,7063.0
9,b4015,6737.0
10,b3236,6597.0
11,b1677,6011.0
12,b2779,5839.0
13,b3065,5808.0
14,b3510,5773.0
15,b2926,5619.0
16,b0957,5583.0
17,b3908,5547.0
18,b3341,5543.0
19,b2096,5508.0
20,b3315,5469.0
21,b4000,5456.0
22,b3303,5130.0
23,b4143,5112.0
24,b3298,4873.0
25,b0605,4833.0
26,b2185,4803.0
27,b0014,4741.0
28,b3296,4591.0
29,b4142,4556.0
30,b3314,4539.0
31,b0755,4480.0
32,b3460,4471.0
33,b0023,4401.0
34,b4203,4337.0
35,b3637,4182.0
36,b3317,4159.0
37,b1136,4117.0
38,b2417,4115.0
39,b3305,4110.0
40,b3985,4071.0
41,b2609,4070.0
42,b2093,4058.0
43,b3294,4028.0
44,b2414,4010.0
45,b3308,4001.0
46,b4202,3890.0
47,b3307,3871.0
48,b3321,3843.0
49,b4243,3826.0
50,b3984,3815.0
51,b3304,3768.0
52,b2551,3754.0
53,b3340,3698.0
54,b0903,3655.0
55,b0170,3538.0
56,b4200,3534.0
57,b1716,3505.0
58,b2095,3504.0
59,b3312,3482.0
60,b3301,3470.0
61,b3310,3455.0
62,b3309,3445.0
63,b2606,3419.0
64,b0169,3405.0
65,b3231,3383.0
66,b3732,3329.0
67,b3320,3328.0
68,b0911,3309.0
69,b2579,3276.0
70,b3319,3240.0
71,b3230,3209.0
72,b0623,3201.0
73,b3983,3190.0
74,b3165,3140.0
75,b1324,3133.0
76,b2665,3075.0
77,b1415,3070.0
78,b1482,2951.0
79,b2007,2888.0
80,b4226,2812.0
81,b3302,2808.0
82,b3313,2804.0
83,b3928,2785.0
84,b2925,2783.0
85,b1480,2723.0
86,b3306,2692.0
87,b3734,2663.0
88,b1712,2653.0
89,b4245,2647.0
90,b3316,2580.0
91,b1241,2569.0
92,b0436,2559.0
93,b3636,2527.0
94,b3342,2492.0
95,b0114,2473.0
96,b0812,2436.0
97,b3708,2417.0
98,b4177,2371.0
99,b1243,2357.0
100,b3544,2354.0
101,b3919,2342.0
102,b3297,2323.0
103,b0197,2301.0
104,b3703,2288.0
105,b0008,2267.0
106,b3186,2248.0
107,b2415,2247.0
108,b0116,2230.0
109,b0811,2207.0
110,b3185,2186.0
111,b1923,2177.0
112,b0474,2164.0
113,b2150,2164.0
114,b1089,2144.0
115,b3609,2107.0
116,b3774,2107.0
117,b2518,2106.0
118,b0329,2038.0
119,b3831,2037.0
120,b4244,2023.0
121,b1004,2017.0
122,b2029,2016.0
123,b3829,2005.0
124,b2310,2003.0
125,b0912,1996.0
126,b2094,1972.0
127,b4014,1972.0
128,b1288,1968.0
129,b2323,1955.0
130,b0728,1948.0
131,b1676,1935.0
132,b0729,1908.0
133,b3781,1907.0
134,b3295,1905.0
135,b3098,1896.0
136,b3203,1891.0
137,b2913,1881.0
138,b3751,1880.0
139,b3311,1834.0
140,b0118,1786.0
141,b0172,1766.0
142,b1920,1755.0
143,b3433,1717.0
144,b3517,1699.0
145,b4034,1676.0
146,b0178,1668.0
147,b0607,1656.0
148,b3783,1630.0
149,b0753,1622.0
150,b0115,1607.0
151,b0928,1602.0
152,b2498,1592.0
153,b0720,1557.0
154,b0407,1556.0
155,b0525,1552.0
156,b3649,1514.0
157,b2614,1476.0
158,b2942,1467.0
159,b0166,1464.0
160,b0415,1457.0
161,b4401,1436.0
162,b4045,1434.0
163,b2476,1431.0
164,b3764,1427.0
165,b0907,1421.0
166,b4069,1420.0
167,b2416,1416.0
168,b3988,1414.0
169,b4139,1414.0
170,b3870,1413.0
171,b3509,1401.0
172,b0954,1398.0
173,b1718,1394.0
174,b3936,1393.0
175,b0727,1392.0
176,b1817,1381.0
177,b0426,1371.0
178,b2914,1370.0
179,b1739,1369.0
180,b2508,1369.0
181,b4255,1353.0
182,b3987,1352.0
183,b3349,1323.0
184,b1093,1298.0
185,b3164,1296.0
186,b1656,1289.0
